No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date_time,date_time_month,RAIN_GROUP
454,2013,3,19,21,39.0,50.0,9.0,67.0,1200.0,2.0,0.9,1014.9,0.5,1.5,ESE,1.5,Aotizhongxin,2013-03-19 21:00:00,2013-03,Light Rain
455,2013,3,19,22,65.0,81.0,8.0,64.0,1200.0,4.0,0.4,1015.6,0.1,1.3,SSE,1.4,Aotizhongxin,2013-03-19 22:00:00,2013-03,Light Rain
456,2013,3,19,23,65.0,81.0,9.0,64.0,900.0,5.0,-0.1,1016.4,-0.5,0.7,S,1.6,Aotizhongxin,2013-03-19 23:00:00,2013-03,No Rain
457,2013,3,20,0,68.0,78.0,6.0,43.0,800.0,8.0,-0.3,1017.4,-0.6,1.0,SE,0.0,Aotizhongxin,2013-03-20 00:00:00,2013-03,No Rain
458,2013,3,20,1,47.0,47.0,5.0,40.0,800.0,10.0,-1.2,1018.1,-1.5,1.6,SW,1.2,Aotizhongxin,2013-03-20 01:00:00,2013-03,Light Rain
459,2013,3,20,2,40.0,42.0,5.0,39.0,1100.0,9.0,-1.2,1018.5,-1.3,0.9,SSW,0.0,Aotizhongxin,2013-03-20 02:00:00,2013-03,No Rain
460,2013,3,20,3,52.0,42.0,5.0,39.0,1100.0,9.0,-1.1,1018.7,-1.2,1.5,NE,1.2,Aotizhongxin,2013-03-20 03:00:00,2013-03,Light Rain
461,2013,3,20,4,52.0,35.0,5.0,40.0,1000.0,10.0,-2.1,1019.0,-2.4,2.5,E,1.6,Aotizhongxin,2013-03-20 04:00:00,2013-03,Light Rain
831,2013,4,4,14,90.0,165.0,92.0,99.0,2600.0,18.0,8.3,1007.1,1.7,0.1,NNE,2.2,Aotizhongxin,2013-04-04 14:00:00,2013-04,No Rain
833,2013,4,4,16,75.0,141.0,32.0,81.0,2000.0,20.0,6.0,1007.4,4.2,1.4,NNE,1.7,Aotizhongxin,2013-04-04 16:00:00,2013-04,Light Rain
834,2013,4,4,17,63.0,102.0,19.0,88.0,2100.0,12.0,5.8,1007.8,4.0,0.7,NE,1.8,Aotizhongxin,2013-04-04 17:00:00,2013-04,No Rain
835,2013,4,4,18,63.0,102.0,19.0,88.0,2200.0,2.0,5.7,1008.5,4.2,1.3,NNE,1.9,Aotizhongxin,2013-04-04 18:00:00,2013-04,Light Rain
836,2013,4,4,19,83.0,85.0,14.0,106.0,2399.0,2.0,5.6,1009.3,4.6,1.9,NE,1.2,Aotizhongxin,2013-04-04 19:00:00,2013-04,Light Rain
837,2013,4,4,20,72.0,90.0,14.0,108.0,2399.0,2.0,5.6,1009.7,4.7,0.9,NE,1.3,Aotizhongxin,2013-04-04 20:00:00,2013-04,No Rain
839,2013,4,4,22,76.0,86.0,13.0,96.0,2399.0,2.0,5.8,1010.1,5.1,0.7,N,0.0,Aotizhongxin,2013-04-04 22:00:00,2013-04,No Rain
840,2013,4,4,23,80.0,88.0,13.0,90.0,2299.0,2.0,5.9,1010.7,5.3,1.1,NE,1.7,Aotizhongxin,2013-04-04 23:00:00,2013-04,Light Rain
841,2013,4,5,0,80.0,88.0,13.0,90.0,2299.0,2.0,5.9,1010.9,5.5,0.3,NE,1.2,Aotizhongxin,2013-04-05 00:00:00,2013-04,No Rain
842,2013,4,5,1,84.0,91.0,13.0,85.0,2200.0,2.0,6.1,1011.4,5.7,0.2,E,0.7,Aotizhongxin,2013-04-05 01:00:00,2013-04,No Rain
843,2013,4,5,2,88.0,89.0,13.0,81.0,2200.0,2.0,6.1,1011.5,5.7,0.4,NE,0.4,Aotizhongxin,2013-04-05 02:00:00,2013-04,No Rain
844,2013,4,5,3,88.0,89.0,13.0,81.0,2200.0,2.0,6.3,1010.9,5.9,0.8,E,0.7,Aotizhongxin,2013-04-05 03:00:00,2013-04,No Rain
845,2013,4,5,4,109.0,81.0,14.0,80.0,2000.0,2.0,6.2,1010.8,5.9,0.5,N,0.9,Aotizhongxin,2013-04-05 04:00:00,2013-04,No Rain
846,2013,4,5,5,112.0,80.0,13.0,67.0,1899.0,2.0,6.1,1010.7,5.8,0.1,NE,0.9,Aotizhongxin,2013-04-05 05:00:00,2013-04,No Rain
848,2013,4,5,7,116.0,87.0,13.0,64.0,2000.0,2.0,6.9,1011.4,6.3,0.1,NE,1.1,Aotizhongxin,2013-04-05 07:00:00,2013-04,No Rain
1186,2013,4,19,9,50.0,107.0,42.0,64.0,700.0,33.0,3.5,1021.6,1.5,0.2,SW,5.4,Aotizhongxin,2013-04-19 09:00:00,2013-04,No Rain
1187,2013,4,19,10,42.0,71.0,11.0,46.0,600.0,40.0,4.7,1020.9,1.5,0.1,SSW,2.8,Aotizhongxin,2013-04-19 10:00:00,2013-04,No Rain
2086,2013,5,26,21,51.0,54.0,12.0,44.0,500.0,27.0,18.1,1005.3,17.1,0.1,NNE,0.6,Aotizhongxin,2013-05-26 21:00:00,2013-05,No Rain
2087,2013,5,26,22,48.0,54.0,11.0,37.0,300.0,28.0,17.1,1005.5,16.1,0.4,SE,1.3,Aotizhongxin,2013-05-26 22:00:00,2013-05,No Rain
2088,2013,5,26,23,44.0,18.0,10.0,37.0,200.0,25.0,16.8,1005.6,15.8,0.1,ESE,0.8,Aotizhongxin,2013-05-26 23:00:00,2013-05,No Rain
2089,2013,5,27,0,36.0,36.0,9.0,24.0,200.0,38.0,16.7,1004.8,16.1,0.6,ENE,0.8,Aotizhongxin,2013-05-27 00:00:00,2013-05,No Rain
2090,2013,5,27,1,44.0,17.0,10.0,24.0,300.0,37.0,16.6,1004.3,16.1,1.2,ESE,0.7,Aotizhongxin,2013-05-27 01:00:00,2013-05,Light Rain
2092,2013,5,27,3,38.0,46.0,10.0,34.0,500.0,2.0,16.5,1003.6,16.0,0.1,E,0.7,Aotizhongxin,2013-05-27 03:00:00,2013-05,No Rain
2093,2013,5,27,4,57.0,46.0,10.0,36.0,500.0,2.0,16.4,1003.5,15.9,0.4,NE,0.7,Aotizhongxin,2013-05-27 04:00:00,2013-05,No Rain
2094,2013,5,27,5,46.0,48.0,9.0,44.0,500.0,8.0,16.6,1003.4,16.3,0.1,NNE,1.2,Aotizhongxin,2013-05-27 05:00:00,2013-05,No Rain
2118,2013,5,28,5,72.0,84.0,3.0,61.0,800.0,11.0,17.9,999.2,17.4,0.6,N,0.5,Aotizhongxin,2013-05-28 05:00:00,2013-05,No Rain
2119,2013,5,28,6,73.0,91.0,3.0,56.0,800.0,11.0,17.9,999.5,17.4,0.3,NE,0.7,Aotizhongxin,2013-05-28 06:00:00,2013-05,No Rain
2120,2013,5,28,7,79.0,100.0,3.0,64.0,900.0,3.0,18.1,1000.0,17.6,0.2,W,0.9,Aotizhongxin,2013-05-28 07:00:00,2013-05,No Rain
2121,2013,5,28,8,103.0,73.0,3.0,70.0,1000.0,2.0,18.3,1000.9,17.8,0.4,SW,1.3,Aotizhongxin,2013-05-28 08:00:00,2013-05,No Rain
2122,2013,5,28,9,99.0,111.0,3.0,71.0,1300.0,2.0,18.6,1001.2,17.9,0.2,SW,0.5,Aotizhongxin,2013-05-28 09:00:00,2013-05,No Rain
2123,2013,5,28,10,87.0,108.0,5.0,76.0,1399.0,2.0,19.1,1000.5,18.3,0.2,ENE,1.0,Aotizhongxin,2013-05-28 10:00:00,2013-05,No Rain
2304,2013,6,4,23,77.0,100.0,3.0,61.0,1000.0,40.0,18.5,1006.8,17.8,3.3,SSE,0.6,Aotizhongxin,2013-06-04 23:00:00,2013-06,Light Rain
2305,2013,6,5,0,76.0,57.0,3.0,68.0,1100.0,31.0,18.5,1006.4,18.2,2.2,NW,0.0,Aotizhongxin,2013-06-05 00:00:00,2013-06,Light Rain
2306,2013,6,5,1,74.0,37.0,3.0,59.0,900.0,32.0,18.5,1005.9,18.2,0.9,NE,0.6,Aotizhongxin,2013-06-05 01:00:00,2013-06,No Rain
2308,2013,6,5,3,68.0,25.0,3.0,50.0,700.0,34.0,18.4,1005.7,18.1,0.1,E,0.7,Aotizhongxin,2013-06-05 03:00:00,2013-06,No Rain
2310,2013,6,5,5,62.0,26.0,3.0,51.0,600.0,28.0,18.5,1006.6,18.2,0.3,NE,0.8,Aotizhongxin,2013-06-05 05:00:00,2013-06,No Rain
2311,2013,6,5,6,81.0,44.0,3.0,37.0,900.0,42.0,18.5,1006.4,18.3,1.1,NE,1.1,Aotizhongxin,2013-06-05 06:00:00,2013-06,Light Rain
2312,2013,6,5,7,83.0,66.0,3.0,53.0,900.0,19.0,18.6,1007.4,18.4,1.8,NE,0.7,Aotizhongxin,2013-06-05 07:00:00,2013-06,Light Rain
2313,2013,6,5,8,68.0,70.0,3.0,60.0,1500.0,19.0,18.5,1007.2,18.3,0.5,E,0.9,Aotizhongxin,2013-06-05 08:00:00,2013-06,No Rain
2326,2013,6,5,21,182.0,202.0,3.0,67.0,1899.0,7.0,18.9,1006.6,17.7,0.1,E,0.9,Aotizhongxin,2013-06-05 21:00:00,2013-06,No Rain
2335,2013,6,6,6,152.0,167.0,3.0,39.0,1600.0,18.0,18.4,1006.2,17.7,0.1,N,0.4,Aotizhongxin,2013-06-06 06:00:00,2013-06,No Rain
2339,2013,6,6,10,90.0,35.0,3.0,53.0,2500.0,5.0,18.9,1005.5,18.4,0.1,NE,1.5,Aotizhongxin,2013-06-06 10:00:00,2013-06,No Rain
2349,2013,6,6,20,134.0,162.0,5.0,77.0,2500.0,3.0,19.7,1004.3,18.9,0.1,NNE,1.0,Aotizhongxin,2013-06-06 20:00:00,2013-06,No Rain
2361,2013,6,7,8,99.0,107.0,7.0,55.0,2000.0,4.0,19.5,1003.7,18.8,7.6,SE,1.1,Aotizhongxin,2013-06-07 08:00:00,2013-06,Moderate Rain
2362,2013,6,7,9,91.0,99.0,8.0,57.0,2200.0,4.0,19.3,1002.7,19.0,8.9,NNW,0.7,Aotizhongxin,2013-06-07 09:00:00,2013-06,Heavy Rain
2363,2013,6,7,10,94.0,99.0,10.0,55.0,2600.0,4.0,19.5,1003.4,19.2,1.3,E,0.0,Aotizhongxin,2013-06-07 10:00:00,2013-06,Light Rain
2364,2013,6,7,11,74.0,93.0,9.0,58.0,2700.0,5.0,19.8,1003.9,19.5,0.3,WSW,0.7,Aotizhongxin,2013-06-07 11:00:00,2013-06,No Rain
2365,2013,6,7,12,95.0,106.0,6.0,56.0,2299.0,6.0,20.2,1003.6,19.9,0.6,WSW,1.1,Aotizhongxin,2013-06-07 12:00:00,2013-06,No Rain
2378,2013,6,8,1,138.0,154.0,7.0,71.0,2100.0,6.0,19.8,1002.9,19.3,0.9,NE,0.7,Aotizhongxin,2013-06-08 01:00:00,2013-06,No Rain
2379,2013,6,8,2,143.0,151.0,6.0,63.0,2299.0,5.0,19.6,1002.6,19.3,1.0,SSE,0.0,Aotizhongxin,2013-06-08 02:00:00,2013-06,No Rain
2399,2013,6,8,22,161.0,226.0,8.0,86.0,2200.0,8.0,19.8,1002.3,19.5,0.1,E,0.5,Aotizhongxin,2013-06-08 22:00:00,2013-06,No Rain
2407,2013,6,9,6,106.0,99.0,10.0,62.0,2200.0,8.0,19.2,1003.0,16.4,0.1,N,3.9,Aotizhongxin,2013-06-09 06:00:00,2013-06,No Rain
2409,2013,6,9,8,12.0,12.0,7.0,45.0,300.0,33.0,17.6,1004.8,16.5,0.6,NNE,2.7,Aotizhongxin,2013-06-09 08:00:00,2013-06,No Rain
2410,2013,6,9,9,3.0,6.0,7.0,48.0,300.0,35.0,17.3,1005.2,16.5,1.4,NNE,2.0,Aotizhongxin,2013-06-09 09:00:00,2013-06,Light Rain
2413,2013,6,9,12,10.0,10.0,3.0,55.0,300.0,38.0,16.9,1006.4,16.3,3.2,NNE,1.5,Aotizhongxin,2013-06-09 12:00:00,2013-06,Light Rain
2414,2013,6,9,13,3.0,6.0,3.0,60.0,300.0,33.0,17.1,1006.5,16.5,2.1,N,1.7,Aotizhongxin,2013-06-09 13:00:00,2013-06,Light Rain
2415,2013,6,9,14,3.0,6.0,3.0,58.0,300.0,34.0,17.1,1006.8,16.6,1.6,NE,1.6,Aotizhongxin,2013-06-09 14:00:00,2013-06,Light Rain
2416,2013,6,9,15,12.0,6.0,3.0,56.0,300.0,34.0,17.0,1006.4,16.4,1.1,ENE,1.4,Aotizhongxin,2013-06-09 15:00:00,2013-06,Light Rain
2417,2013,6,9,16,10.0,10.0,3.0,56.0,300.0,38.0,17.0,1006.4,16.2,0.4,NE,1.2,Aotizhongxin,2013-06-09 16:00:00,2013-06,No Rain
2418,2013,6,9,17,13.0,13.0,3.0,51.0,300.0,38.0,17.1,1006.4,16.6,0.4,ENE,0.7,Aotizhongxin,2013-06-09 17:00:00,2013-06,No Rain
2419,2013,6,9,18,13.0,13.0,3.0,58.0,300.0,34.0,17.1,1006.7,16.6,0.2,NW,1.0,Aotizhongxin,2013-06-09 18:00:00,2013-06,No Rain
2427,2013,6,10,2,11.0,19.0,4.0,70.0,600.0,4.0,15.9,1007.8,15.7,0.1,SSE,0.7,Aotizhongxin,2013-06-10 02:00:00,2013-06,No Rain
2470,2013,6,11,21,47.0,101.0,3.0,134.0,700.0,36.0,19.0,1003.9,15.9,3.8,SW,2.6,Aotizhongxin,2013-06-11 21:00:00,2013-06,Light Rain
2471,2013,6,11,22,60.0,80.0,3.0,102.0,800.0,57.0,17.4,1004.4,16.8,3.6,SE,0.5,Aotizhongxin,2013-06-11 22:00:00,2013-06,Light Rain
2478,2013,6,12,5,25.0,40.0,3.0,78.0,700.0,26.0,15.0,1002.9,14.7,0.1,NE,0.7,Aotizhongxin,2013-06-12 05:00:00,2013-06,No Rain
2580,2013,6,16,11,193.0,246.0,55.0,106.0,2600.0,17.0,22.1,997.9,19.5,0.1,N,1.8,Aotizhongxin,2013-06-16 11:00:00,2013-06,No Rain
2581,2013,6,16,12,198.0,333.0,50.0,112.0,2500.0,9.0,21.1,997.7,19.2,0.2,ENE,1.5,Aotizhongxin,2013-06-16 12:00:00,2013-06,No Rain
2582,2013,6,16,13,201.0,228.0,39.0,118.0,2899.0,2.0,21.3,996.8,19.8,0.1,NE,1.2,Aotizhongxin,2013-06-16 13:00:00,2013-06,No Rain
2590,2013,6,16,21,193.0,204.0,24.0,105.0,2500.0,2.0,21.6,998.4,20.8,0.6,NE,1.2,Aotizhongxin,2013-06-16 21:00:00,2013-06,No Rain
2879,2013,6,28,22,279.0,120.0,24.0,54.0,2000.0,86.0,21.3,996.0,19.9,1.0,S,1.2,Aotizhongxin,2013-06-28 22:00:00,2013-06,No Rain
2881,2013,6,29,0,25.0,25.0,3.0,61.0,500.0,85.0,21.0,996.6,20.5,0.6,NNE,1.5,Aotizhongxin,2013-06-29 00:00:00,2013-06,No Rain
2882,2013,6,29,1,22.0,22.0,3.0,53.0,500.0,80.0,21.0,996.4,20.5,0.2,NE,1.7,Aotizhongxin,2013-06-29 01:00:00,2013-06,No Rain
2888,2013,6,29,7,68.0,21.0,3.0,57.0,700.0,26.0,21.9,999.1,21.1,0.1,ENE,0.9,Aotizhongxin,2013-06-29 07:00:00,2013-06,No Rain
2949,2013,7,1,20,193.0,39.0,22.0,89.0,2100.0,5.0,24.5,990.8,23.5,0.5,NE,1.1,Aotizhongxin,2013-07-01 20:00:00,2013-07,No Rain
2954,2013,7,2,1,30.0,30.0,4.0,27.0,500.0,58.0,21.1,989.3,20.6,0.1,NNE,1.8,Aotizhongxin,2013-07-02 01:00:00,2013-07,No Rain
3018,2013,7,4,17,24.0,73.0,5.0,34.0,300.0,224.0,22.9,988.3,21.4,3.2,E,1.3,Aotizhongxin,2013-07-04 17:00:00,2013-07,Light Rain
3019,2013,7,4,18,14.0,396.0,3.0,25.0,200.0,121.0,24.0,988.3,20.7,0.1,N,1.6,Aotizhongxin,2013-07-04 18:00:00,2013-07,No Rain
3071,2013,7,6,22,70.0,185.0,23.0,51.0,1200.0,143.0,21.9,997.8,21.1,6.4,SW,1.6,Aotizhongxin,2013-07-06 22:00:00,2013-07,Moderate Rain
3072,2013,7,6,23,39.0,83.0,4.0,20.0,300.0,151.0,21.9,996.6,21.2,2.4,SSE,1.5,Aotizhongxin,2013-07-06 23:00:00,2013-07,Light Rain
3073,2013,7,7,0,20.0,67.0,3.0,24.0,400.0,124.0,22.0,996.3,21.3,1.7,WSW,0.4,Aotizhongxin,2013-07-07 00:00:00,2013-07,Light Rain
3096,2013,7,7,23,214.0,207.0,14.0,41.0,1500.0,143.0,27.4,994.8,26.0,2.0,E,1.3,Aotizhongxin,2013-07-07 23:00:00,2013-07,Light Rain
3097,2013,7,8,0,213.0,162.0,13.0,29.0,1200.0,154.0,24.8,995.2,23.8,4.4,NNE,0.8,Aotizhongxin,2013-07-08 00:00:00,2013-07,Moderate Rain
3099,2013,7,8,2,62.0,70.0,4.0,28.0,400.0,130.0,23.4,995.7,22.9,1.0,ESE,0.7,Aotizhongxin,2013-07-08 02:00:00,2013-07,No Rain
3100,2013,7,8,3,62.0,70.0,4.0,18.0,400.0,135.0,23.2,995.4,22.9,0.1,NE,1.0,Aotizhongxin,2013-07-08 03:00:00,2013-07,No Rain
3105,2013,7,8,8,82.0,65.0,5.0,41.0,600.0,83.0,24.7,997.9,23.5,0.5,E,0.7,Aotizhongxin,2013-07-08 08:00:00,2013-07,No Rain
3106,2013,7,8,9,91.0,69.0,5.0,49.0,700.0,66.0,24.7,997.8,23.3,0.3,E,0.8,Aotizhongxin,2013-07-08 09:00:00,2013-07,No Rain
3107,2013,7,8,10,88.0,69.0,5.0,50.0,700.0,71.0,25.0,997.8,24.0,6.6,E,1.1,Aotizhongxin,2013-07-08 10:00:00,2013-07,Moderate Rain
3111,2013,7,8,14,94.0,88.0,6.0,53.0,800.0,94.0,25.7,996.5,23.9,3.6,S,0.5,Aotizhongxin,2013-07-08 14:00:00,2013-07,Light Rain
3113,2013,7,8,16,85.0,28.0,6.0,51.0,800.0,107.0,27.2,996.2,25.0,0.1,WSW,1.1,Aotizhongxin,2013-07-08 16:00:00,2013-07,No Rain
3115,2013,7,8,18,106.0,122.0,6.0,83.0,1000.0,81.0,25.3,996.3,23.7,0.1,W,1.5,Aotizhongxin,2013-07-08 18:00:00,2013-07,No Rain
3117,2013,7,8,20,143.0,165.0,9.0,94.0,1200.0,47.0,24.9,997.6,24.2,0.2,SE,0.1,Aotizhongxin,2013-07-08 20:00:00,2013-07,No Rain
3118,2013,7,8,21,152.0,153.0,9.0,84.0,1200.0,36.0,24.9,997.5,24.4,0.3,ESE,0.0,Aotizhongxin,2013-07-08 21:00:00,2013-07,No Rain
3124,2013,7,9,3,149.0,107.0,9.0,77.0,1100.0,2.0,24.6,997.3,24.3,0.6,NNE,0.1,Aotizhongxin,2013-07-09 03:00:00,2013-07,No Rain
3125,2013,7,9,4,165.0,105.0,10.0,72.0,1000.0,2.0,24.6,997.4,24.3,0.9,NE,1.0,Aotizhongxin,2013-07-09 04:00:00,2013-07,No Rain
3126,2013,7,9,5,150.0,101.0,10.0,78.0,1000.0,2.0,24.5,997.7,24.3,0.2,NNE,0.7,Aotizhongxin,2013-07-09 05:00:00,2013-07,No Rain
3132,2013,7,9,11,57.0,57.0,7.0,34.0,700.0,64.0,24.9,997.9,24.0,1.0,NNE,1.0,Aotizhongxin,2013-07-09 11:00:00,2013-07,No Rain
3133,2013,7,9,12,52.0,25.0,6.0,46.0,700.0,50.0,25.0,998.2,24.3,2.1,NE,0.7,Aotizhongxin,2013-07-09 12:00:00,2013-07,Light Rain
3135,2013,7,9,14,52.0,52.0,4.0,38.0,500.0,60.0,23.8,997.8,22.9,1.7,NE,1.5,Aotizhongxin,2013-07-09 14:00:00,2013-07,Light Rain
3136,2013,7,9,15,19.0,162.0,3.0,46.0,500.0,59.0,23.4,998.0,22.6,0.9,NE,1.4,Aotizhongxin,2013-07-09 15:00:00,2013-07,No Rain
3137,2013,7,9,16,25.0,82.0,3.0,35.0,400.0,67.0,23.2,997.7,22.5,0.8,NE,0.8,Aotizhongxin,2013-07-09 16:00:00,2013-07,No Rain
3138,2013,7,9,17,25.0,56.0,3.0,45.0,500.0,51.0,23.5,997.5,22.8,0.2,S,0.6,Aotizhongxin,2013-07-09 17:00:00,2013-07,No Rain
3149,2013,7,10,4,41.0,45.0,5.0,44.0,400.0,2.0,21.9,998.9,21.7,0.2,NE,1.0,Aotizhongxin,2013-07-10 04:00:00,2013-07,No Rain
3150,2013,7,10,5,35.0,47.0,3.0,48.0,500.0,2.0,22.0,999.3,22.0,0.2,NNE,0.9,Aotizhongxin,2013-07-10 05:00:00,2013-07,No Rain
3158,2013,7,10,13,32.0,49.0,5.0,55.0,600.0,17.0,23.0,1000.2,21.6,1.1,ENE,1.3,Aotizhongxin,2013-07-10 13:00:00,2013-07,Light Rain
3159,2013,7,10,14,31.0,47.0,4.0,51.0,500.0,25.0,22.8,1000.7,21.6,2.8,N,1.1,Aotizhongxin,2013-07-10 14:00:00,2013-07,Light Rain
3160,2013,7,10,15,20.0,30.0,3.0,34.0,400.0,64.0,22.6,1000.6,21.9,1.1,WNW,0.0,Aotizhongxin,2013-07-10 15:00:00,2013-07,Light Rain
3161,2013,7,10,16,21.0,30.0,3.0,44.0,500.0,56.0,22.8,1000.3,21.8,0.2,NNW,0.7,Aotizhongxin,2013-07-10 16:00:00,2013-07,No Rain
3262,2013,7,14,21,73.0,87.0,7.0,42.0,600.0,80.0,24.0,1000.7,23.1,0.5,SW,1.3,Aotizhongxin,2013-07-14 21:00:00,2013-07,No Rain
3264,2013,7,14,23,61.0,46.0,3.0,53.0,600.0,48.0,23.3,1000.2,23.1,2.0,W,0.9,Aotizhongxin,2013-07-14 23:00:00,2013-07,Light Rain
3265,2013,7,15,0,65.0,48.0,3.0,52.0,700.0,37.0,22.7,999.4,22.4,3.0,NNW,0.5,Aotizhongxin,2013-07-15 00:00:00,2013-07,Light Rain
3266,2013,7,15,1,60.0,35.0,3.0,62.0,600.0,17.0,22.8,998.7,22.5,4.1,NNE,0.9,Aotizhongxin,2013-07-15 01:00:00,2013-07,Moderate Rain
3267,2013,7,15,2,51.0,13.0,3.0,38.0,500.0,42.0,22.6,997.6,22.3,1.4,ESE,0.2,Aotizhongxin,2013-07-15 02:00:00,2013-07,Light Rain
3268,2013,7,15,3,69.0,47.0,3.0,38.0,700.0,28.0,22.7,997.2,22.5,1.8,NE,1.5,Aotizhongxin,2013-07-15 03:00:00,2013-07,Light Rain
3269,2013,7,15,4,72.0,55.0,4.0,34.0,1400.0,4.0,22.8,996.7,22.6,3.0,N,0.6,Aotizhongxin,2013-07-15 04:00:00,2013-07,Light Rain
3270,2013,7,15,5,64.0,49.0,5.0,42.0,1700.0,2.0,23.0,996.4,22.8,3.1,NNE,1.1,Aotizhongxin,2013-07-15 05:00:00,2013-07,Light Rain
3271,2013,7,15,6,64.0,26.0,5.0,42.0,1800.0,2.0,22.9,996.1,22.7,9.8,NE,1.0,Aotizhongxin,2013-07-15 06:00:00,2013-07,Heavy Rain
3272,2013,7,15,7,51.0,43.0,5.0,44.0,2000.0,2.0,22.9,995.7,22.7,8.8,ESE,0.6,Aotizhongxin,2013-07-15 07:00:00,2013-07,Heavy Rain
3273,2013,7,15,8,59.0,55.0,5.0,38.0,2100.0,2.0,22.9,995.0,22.9,4.5,SE,0.1,Aotizhongxin,2013-07-15 08:00:00,2013-07,Moderate Rain
3274,2013,7,15,9,34.0,19.0,4.0,46.0,1500.0,2.0,23.1,994.5,22.9,3.3,NE,0.5,Aotizhongxin,2013-07-15 09:00:00,2013-07,Light Rain
3275,2013,7,15,10,34.0,9.0,4.0,46.0,1400.0,2.0,24.1,993.6,24.1,2.5,SW,1.5,Aotizhongxin,2013-07-15 10:00:00,2013-07,Light Rain
3276,2013,7,15,11,25.0,14.0,3.0,58.0,1400.0,2.0,24.4,993.1,24.2,0.9,SSW,1.3,Aotizhongxin,2013-07-15 11:00:00,2013-07,No Rain
3277,2013,7,15,12,20.0,15.0,4.0,40.0,1200.0,2.0,24.9,992.8,24.6,0.8,SSW,1.0,Aotizhongxin,2013-07-15 12:00:00,2013-07,No Rain
3278,2013,7,15,13,30.0,12.0,3.0,39.0,1100.0,2.0,25.5,992.1,25.2,0.6,S,0.9,Aotizhongxin,2013-07-15 13:00:00,2013-07,No Rain
3279,2013,7,15,14,38.0,29.0,3.0,40.0,1000.0,2.0,25.5,992.0,24.8,0.1,SW,0.7,Aotizhongxin,2013-07-15 14:00:00,2013-07,No Rain
3280,2013,7,15,15,39.0,18.0,3.0,44.0,1000.0,2.0,25.0,992.2,24.5,1.1,WSW,1.6,Aotizhongxin,2013-07-15 15:00:00,2013-07,Light Rain
3281,2013,7,15,16,42.0,32.0,4.0,51.0,1000.0,2.0,24.3,991.2,24.0,3.8,WSW,0.0,Aotizhongxin,2013-07-15 16:00:00,2013-07,Light Rain
3282,2013,7,15,17,41.0,25.0,4.0,64.0,900.0,2.0,24.5,990.4,24.2,0.5,N,1.1,Aotizhongxin,2013-07-15 17:00:00,2013-07,No Rain
3283,2013,7,15,18,46.0,29.0,4.0,66.0,900.0,4.0,24.4,990.0,24.1,0.6,E,0.6,Aotizhongxin,2013-07-15 18:00:00,2013-07,No Rain
3284,2013,7,15,19,49.0,35.0,3.0,73.0,1000.0,2.0,24.1,990.7,23.9,0.1,N,0.0,Aotizhongxin,2013-07-15 19:00:00,2013-07,No Rain
